ym,gmv,gmv_prev,mom_pct
2016-09,279.69,,
2016-10,51354.52,279.69,18261.23
2016-11,0.00,51354.52,-100.00
2016-12,19.62,0.00,
2017-01,136943.46,19.62,697878.90
2017-02,283561.69,136943.46,107.06
2017-03,425617.96,283561.69,50.10
2017-04,405848.61,425617.96,-4.64
2017-05,582710.83,405848.61,43.58
2017-06,499652.24,582710.83,-14.25
2017-07,578753.73,499652.24,15.83
2017-08,661903.52,578753.73,14.37
2017-09,717102.72,661903.52,8.34
2017-10,764756.03,717102.72,6.65
2017-11,1172191.68,764756.03,53.28
2017-12,861526.77,1172191.68,-26.50
2018-01,1101920.01,861526.77,27.90
2018-02,979486.16,1101920.01,-11.11
2018-03,1152656.99,979486.16,17.68
2018-04,1156248.89,1152656.99,0.31
2018-05,1145686.46,1156248.89,-0.91
2018-06,1020381.90,1145686.46,-10.94
2018-07,1039783.58,1020381.90,1.90
2018-08,996973.51,1039783.58,-4.12
2018-09,166.46,996973.51,-99.98
2018-10,0.00,166.46,-100.00
