state,order_cnt,gmv,gmv_share_pct,cumulative_gmv,cumulative_share_pct
SP,41125,5878132.06,37.36,5878132.06,37.36
RJ,12697,2115667.56,13.45,7993799.62,50.80
MG,11496,1843074.43,11.71,9836874.05,62.51
RS,5415,877290.59,5.58,10714164.64,68.09
PR,4982,794196.61,5.05,11508361.25,73.14
SC,3599,608023.70,3.86,12116384.95,77.00
BA,3344,606908.66,3.86,12723293.61,80.86
DF,2120,351327.21,2.23,13074620.82,83.09
GO,1998,340544.37,2.16,13415165.19,85.25
ES,2018,323081.03,2.05,13738246.22,87.31
PE,1643,321018.34,2.04,14059264.56,89.35
CE,1323,274522.61,1.74,14333787.17,91.09
PA,969,217480.54,1.38,14551267.71,92.47
MT,902,186005.11,1.18,14737272.82,93.66
MA,736,150687.96,0.96,14887960.78,94.61
PB,531,140523.47,0.89,15028484.25,95.51
MS,708,135875.69,0.86,15164359.94,96.37
PI,490,107765.47,0.68,15272125.41,97.06
RN,482,101895.08,0.65,15374020.49,97.70
AL,411,96229.40,0.61,15470249.89,98.31
SE,345,73032.32,0.46,15543282.21,98.78
TO,278,61103.85,0.39,15604386.06,99.17
RO,246,57423.77,0.36,15661809.83,99.53
AM,147,27835.73,0.18,15689645.56,99.71
AC,81,19669.70,0.13,15709315.26,99.83
AP,68,16262.80,0.10,15725578.06,99.94
RR,45,9948.97,0.06,15735527.03,100.00
