category,order_cnt,gmv,aov,avg_score,reviewed_order_cnt,gmv_share_pct
health_beauty,8800,1437665.78,163.37,4.19,8735,9.14
watches_gifts,5604,1298292.47,231.67,4.08,5557,8.25
bed_bath_table,9399,1240386.13,131.97,3.98,9295,7.88
sports_leisure,7673,1147244.63,149.52,4.18,7623,7.29
computers_accessories,6654,1050941.58,157.94,4.04,6616,6.68
furniture_decor,6425,899626.04,140.02,4.03,6375,5.72
housewares,5847,772035.14,132.04,4.16,5808,4.91
cool_stuff,3616,704086.24,194.71,4.18,3586,4.47
auto,3872,678606.64,175.26,4.11,3852,4.31
garden_tools,3505,579525.20,165.34,4.15,3483,3.68
