cohort_month,cohort_size,month_index,retained_customers,retention_pct
2016-09,2,0,2,100.00
2016-09,2,1,0,0.00
2016-09,2,2,0,0.00
2016-09,2,3,0,0.00
2016-09,2,4,0,0.00
2016-09,2,5,0,0.00
2016-09,2,6,0,0.00
2016-09,2,7,0,0.00
2016-09,2,8,0,0.00
2016-09,2,9,0,0.00
2016-09,2,10,0,0.00
2016-09,2,11,0,0.00
2016-09,2,12,0,0.00
2016-09,2,13,0,0.00
2016-09,2,14,0,0.00
2016-09,2,15,0,0.00
2016-09,2,16,0,0.00
2016-09,2,17,0,0.00
2016-09,2,18,0,0.00
2016-09,2,19,0,0.00
2016-09,2,20,0,0.00
2016-09,2,21,0,0.00
2016-09,2,22,0,0.00
2016-09,2,23,0,0.00
2016-09,2,24,0,0.00
2016-09,2,25,0,0.00
2016-10,287,0,287,100.00
2016-10,287,1,0,0.00
2016-10,287,2,0,0.00
2016-10,287,3,0,0.00
2016-10,287,4,0,0.00
2016-10,287,5,0,0.00
2016-10,287,6,1,0.35
2016-10,287,7,0,0.00
2016-10,287,8,0,0.00
2016-10,287,9,1,0.35
2016-10,287,10,0,0.00
2016-10,287,11,1,0.35
2016-10,287,12,0,0.00
2016-10,287,13,1,0.35
2016-10,287,14,0,0.00
2016-10,287,15,1,0.35
2016-10,287,16,0,0.00
2016-10,287,17,1,0.35
2016-10,287,18,0,0.00
2016-10,287,19,2,0.70
2016-10,287,20,2,0.70
2016-10,287,21,0,0.00
2016-10,287,22,0,0.00
2016-10,287,23,0,0.00
2016-10,287,24,0,0.00
2016-12,1,0,1,100.00
2016-12,1,1,1,100.00
2016-12,1,2,0,0.00
2016-12,1,3,0,0.00
2016-12,1,4,0,0.00
2016-12,1,5,0,0.00
2016-12,1,6,0,0.00
2016-12,1,7,0,0.00
2016-12,1,8,0,0.00
2016-12,1,9,0,0.00
2016-12,1,10,0,0.00
2016-12,1,11,0,0.00
2016-12,1,12,0,0.00
2016-12,1,13,0,0.00
2016-12,1,14,0,0.00
2016-12,1,15,0,0.00
2016-12,1,16,0,0.00
2016-12,1,17,0,0.00
2016-12,1,18,0,0.00
2016-12,1,19,0,0.00
2016-12,1,20,0,0.00
2016-12,1,21,0,0.00
2016-12,1,22,0,0.00
2017-01,752,0,752,100.00
2017-01,752,1,3,0.40
2017-01,752,2,2,0.27
2017-01,752,3,1,0.13
2017-01,752,4,3,0.40
2017-01,752,5,1,0.13
2017-01,752,6,3,0.40
2017-01,752,7,1,0.13
2017-01,752,8,1,0.13
2017-01,752,9,0,0.00
2017-01,752,10,3,0.40
2017-01,752,11,1,0.13
2017-01,752,12,5,0.66
2017-01,752,13,3,0.40
2017-01,752,14,1,0.13
2017-01,752,15,1,0.13
2017-01,752,16,2,0.27
2017-01,752,17,3,0.40
2017-01,752,18,0,0.00
2017-01,752,19,1,0.13
2017-01,752,20,0,0.00
2017-01,752,21,0,0.00
2017-02,1690,0,1690,100.00
2017-02,1690,1,4,0.24
2017-02,1690,2,5,0.30
2017-02,1690,3,2,0.12
2017-02,1690,4,7,0.41
2017-02,1690,5,2,0.12
2017-02,1690,6,4,0.24
2017-02,1690,7,3,0.18
2017-02,1690,8,2,0.12
2017-02,1690,9,3,0.18
2017-02,1690,10,2,0.12
2017-02,1690,11,5,0.30
2017-02,1690,12,2,0.12
2017-02,1690,13,3,0.18
2017-02,1690,14,2,0.12
2017-02,1690,15,1,0.06
2017-02,1690,16,1,0.06
2017-02,1690,17,4,0.24
2017-02,1690,18,0,0.00
2017-02,1690,19,0,0.00
2017-02,1690,20,0,0.00
2017-03,2571,0,2571,100.00
2017-03,2571,1,13,0.51
2017-03,2571,2,9,0.35
2017-03,2571,3,10,0.39
2017-03,2571,4,9,0.35
2017-03,2571,5,4,0.16
2017-03,2571,6,4,0.16
2017-03,2571,7,8,0.31
2017-03,2571,8,9,0.35
2017-03,2571,9,2,0.08
2017-03,2571,10,10,0.39
2017-03,2571,11,3,0.12
2017-03,2571,12,6,0.23
2017-03,2571,13,3,0.12
2017-03,2571,14,4,0.16
2017-03,2571,15,6,0.23
2017-03,2571,16,2,0.08
2017-03,2571,17,4,0.16
2017-03,2571,18,0,0.00
2017-03,2571,19,0,0.00
2017-04,2325,0,2325,100.00
2017-04,2325,1,14,0.60
2017-04,2325,2,5,0.22
2017-04,2325,3,4,0.17
2017-04,2325,4,7,0.30
2017-04,2325,5,6,0.26
2017-04,2325,6,8,0.34
2017-04,2325,7,7,0.30
2017-04,2325,8,7,0.30
2017-04,2325,9,4,0.17
2017-04,2325,10,6,0.26
2017-04,2325,11,2,0.09
2017-04,2325,12,2,0.09
2017-04,2325,13,1,0.04
2017-04,2325,14,2,0.09
2017-04,2325,15,2,0.09
2017-04,2325,16,3,0.13
2017-04,2325,17,0,0.00
2017-04,2325,18,0,0.00
2017-05,3541,0,3541,100.00
2017-05,3541,1,17,0.48
2017-05,3541,2,17,0.48
2017-05,3541,3,14,0.40
2017-05,3541,4,11,0.31
2017-05,3541,5,12,0.34
2017-05,3541,6,15,0.42
2017-05,3541,7,5,0.14
2017-05,3541,8,9,0.25
2017-05,3541,9,9,0.25
2017-05,3541,10,9,0.25
2017-05,3541,11,12,0.34
2017-05,3541,12,9,0.25
2017-05,3541,13,1,0.03
2017-05,3541,14,7,0.20
2017-05,3541,15,8,0.23
2017-05,3541,16,0,0.00
2017-05,3541,17,0,0.00
2017-06,3102,0,3102,100.00
2017-06,3102,1,14,0.45
2017-06,3102,2,11,0.35
2017-06,3102,3,12,0.39
2017-06,3102,4,8,0.26
2017-06,3102,5,12,0.39
2017-06,3102,6,11,0.35
2017-06,3102,7,7,0.23
2017-06,3102,8,4,0.13
2017-06,3102,9,7,0.23
2017-06,3102,10,10,0.32
2017-06,3102,11,10,0.32
2017-06,3102,12,5,0.16
2017-06,3102,13,4,0.13
2017-06,3102,14,6,0.19
2017-06,3102,15,0,0.00
2017-06,3102,16,0,0.00
