seller_id,gmv,gmv_share_pct,cumulative_share_pct
4869f7a5dfa277a7dca6462dcf3b52b2,249393.44,1.58,1.58
7c67e1448b00f6e969d365cea6b010ab,239536.44,1.52,3.11
53243585a1d6dc2643021fd1853d8905,235856.68,1.50,4.61
4a3ca9315b744ce9f8e9374361493884,235359.30,1.50,6.10
fa1c13f2614d7b5c4749cbc52fecda94,202861.67,1.29,7.39
da8622b14eb17ae2831f4ac5b9dab84a,185192.32,1.18,8.57
7e93a43ef30c4f03f38b393420bc753a,178838.42,1.14,9.70
1025f0e2d44d7041d6cf58b6550e0bfa,172860.69,1.10,10.80
7a67c85e85bb2ce8582c35f2203ad736,162607.24,1.03,11.84
955fee9216a65b617aa5c0531780ce60,160582.90,1.02,12.86
6560211a19b47992c3666cc44a7e94c0,150522.02,0.96,13.81
1f50f920176fa81dab994f9023523100,142037.48,0.90,14.72
46dc3b2cc0980fb8ec44634e21d2718e,138919.78,0.88,15.60
a1043bafd471dff536d0c462352beb48,133195.80,0.85,16.45
cc419e0650a3c5ba77189a1882b7556a,129169.95,0.82,17.27
620c87c171fb2a6dd6e8bb4dec959fc6,127674.78,0.81,18.08
5dceca129747e92ff8ef7a997dc4f8ca,125737.68,0.80,18.88
7d13fca15225358621be4086e1eb0964,122261.02,0.78,19.65
3d871de0142ce09b7081e2b9d1733cb1,116835.80,0.74,20.40
edb1ef5e36e0c8cd84eb3c9b003e486d,83189.65,0.53,20.92
